Z,記號,元素字,華音,隋音,備考
1,H,氫,qīng,Khieŋ,輕
2,He,氦,hài,Xə́i,
3,Li,鋰,lǐ,Liə́,
4,Be,鈹,pī,Phrie,披
5,B,硼,péng,Bəŋ,
6,C,碳,tàn,Thân,
7,N,氮,dàn,Dám,淡
8,O,氧,yǎng,Jiáŋ,養
9,F,氟,fú,Pyut,
10,Ne,氖,nǎi,Nə́i,
11,Na,鈉,nà,Nəp,納
12,Mg,鎂,měi,Mrýi,
13,Al,鋁,lǚ,Lió,
14,Si,硅,guī,Kuei,珪
15,P,磷,lín,Lin,
16,S,硫,liú,Lyu,
17,Cl,氯,lǜ,Lyok,綠
18,Ar,氬,yà,Qrâ,
19,K,鉀,jiǎ,Krap,
20,Ca,鈣,gài,Kâi,
21,Sc,鈧,kàng,Khâŋ,
22,Ti,鈦,tài,Thâi,
23,V,釩,fán,Byam,
24,Cr,鉻,gè,Kak,
25,Mn,錳,měng,Mráŋ,猛
26,Fe,鐵,tiě,Thet,
27,Co,鈷,gǔ,Kó,
28,Ni,鎳,niè,Ŋet,
29,Cu,銅,tóng,Duŋ,
30,Zn,鋅,xīn,Sin,
31,Ga,鎵,jiā,Kra,
32,Ge,鍺,zhě,Tiá,
33,As,砷,shēn,Shin,
34,Se,硒,xī,Sei,
35,Br,溴,xiù,Qhyû,齅
36,Kr,氪,kè,Khək,
37,Rb,銣,rú,Nio,
38,Sr,鍶,sī,Siə,
39,Y,釔,yǐ,Qrit,
40,Zr,鋯,gào,Kâu,
41,Nb,鈮,ní,Nri,
42,Mo,鉬,mù,Myuk,
43,Tc,鍀,dé,Tək,
44,Ru,釕,liǎo,Léu,
45,Rh,銠,lǎo,Láu,
46,Pd,鈀,bǎ,Prá,
47,Ag,銀,yín,Ŋrin,
48,Cd,鎘,gé,Krek,
49,In,銦,yīn,Qin,
50,Sn,錫,xī,Sek,
51,Sb,銻,tī,Thei,
52,Te,碲,dì,Têi,
53,I,碘,diǎn,Tén,
54,Xe,氙,xiān,Sien,仙
55,Cs,銫,sè,Sriək,
56,Ba,鋇,bèi,Pâi,
57,La,鑭,lán,Lan,
58,Ce,鈰,shì,Diə́,
59,Pr,鐠,pǔ,Phó,
60,Nd,釹,nǚ,Nrió,
61,Pm,鉕,pǒ,Phá,
62,Sm,釤,shān,Sram,
63,Eu,銪,yǒu,Xyú,
64,Gd,釓,gá,Kret,
65,Tb,鋱,tè,Thək,
66,Dy,鏑,dī,Tek,
67,Ho,鈥,huǒ,Qhuá,
68,Er,鉺,ěr,Niə́,
69,Tm,銩,diū,Tʼiu,音寫
70,Yb,鐿,yì,Qiə̂,
71,Lu,鑥,lǔ,Ló,
72,Hf,鉿,hā,Qhəp,欱
73,Ta,鉭,tǎn,Thán,坦
74,W,鎢,wū,Qo,
75,Re,錸,lái,Ləi,
76,Os,鋨,é,Ŋa,俄
77,Ir,銥,yī,Qiəi,
78,Pt,鉑,bó,Bak,箔
79,Au,金,jīn,Krim,
80,Hg,汞,gǒng,Xúŋ,
81,Tl,鉈,tā,Tha,
82,Pb,鉛,qiān,Jyen,
83,Bi,鉍,bì,Pit,
84,Po,釙,pō,Puk,
85,At,砹,ài,Ŋâi,
86,Rn,氡,dōng,Toŋ,
87,Fr,鈁,fāng,Pyaŋ,
88,Ra,鐳,léi,Lui,
89,Ac,錒,ā,Qa,
90,Th,釷,tǔ,Thó,
91,Pa,鏷,pú,Buk,
92,U,鈾,yóu,Jyu,
93,Np,鎿,ná,Nra,
94,Pu,鈈,bù,Pyut,
95,Am,鎇,méi,Mryi,
96,Cm,鋦,jū,Gyok,
97,Bk,錇,péi,Bui,陪
98,Cf,鐦,kāi,Khəi,
99,Es,鎄,āi,Qəi,
100,Fm,鐨,fèi,Phyûi,
101,Md,鍆,mén,Mun,
102,No,鍩,nuò,Nak,諾
103,Lr,鐒,láo,Lau,
104,Rf,鑪,lú,Lo,
105,Db,𨧀,dù,Dó,
106,Sg,𨭎,xǐ,Qhiə́,
107,Bh,𨨏,bō,Pa,
108,Hs,𨭆,hēi,Qhək,
109,Mt,䥑,mài,Mrek,
110,Ds,鐽,dá,Dat,
111,Rg,錀,lún,Lun,
112,Cn,鎶,gē,Ka,
